499385,96,,0.00,0.00,0.00,0.00,0.00,98904.82,203.89,69.44,17.10,17.06,1.22,nan,109.22,0.56,1.29,0.41,-0.02,0.02,1.01,158.65,15.83
504600,97,,0.00,0.00,0.00,0.00,0.00,98904.67,203.45,69.10,17.16,17.11,1.33,64.27,109.90,0.47,1.20,0.40,-0.02,0.02,1.00,169.49,15.83
509731,98,,0.00,0.00,0.00,0.00,0.00,98895.05,204.27,68.56,17.20,17.16,1.29,61.53,109.08,0.47,1.26,0.17,-0.01,0.02,1.00,168.92,15.86
514859,99,,0.00,0.00,0.00,0.00,0.00,98903.32,203.57,68.27,17.26,17.24,1.49,59.65,108.82,0.55,1.26,0.30,-0.01,0.03,1.01,169.49,15.97
519987,100,,0.00,0.00,0.00,0.00,0.00,98902.34,203.19,68.06,17.30,17.28,1.53,58.10,110.82,0.77,1.17,0.27,-0.02,0.03,1.00,159.22,15.97
525115,101,,0.00,0.00,0.00,0.00,0.00,98901.77,203.70,67.96,17.37,17.35,1.53,nan,110.51,0.62,1.16,0.47,-0.01,0.03,1.00,199.15,16.05
530246,102,,0.00,0.00,0.00,0.00,0.00,98907.98,203.17,67.85,17.44,17.41,1.43,70.66,109.92,0.32,1.01,0.30,-0.01,0.03,1.00,189.45,16.12
535443,103,,0.00,0.00,0.00,0.00,0.00,98903.73,203.53,68.15,17.50,17.48,1.73,nan,109.79,0.54,1.16,0.26,-0.02,0.03,1.00,188.88,16.19
540570,104,,0.00,0.00,0.00,0.00,0.00,98901.93,204.14,68.24,17.59,17.56,1.50,56.75,110.09,0.60,1.00,0.45,-0.01,0.03,1.00,188.31,16.19
545698,105,,0.00,0.00,0.00,0.00,0.00,98899.07,203.93,67.95,17.63,17.62,1.51,61.54,110.34,0.56,1.37,0.43,-0.01,0.03,1.01,193.45,16.30
550829,106,,0.00,0.00,0.00,0.00,0.00,98898.30,203.99,67.55,17.69,17.69,1.36,nan,109.90,0.60,1.31,0.31,-0.01,0.02,1.00,195.73,16.38
555956,107,,0.00,0.00,0.00,0.00,0.00,98912.54,202.78,67.36,17.76,17.74,1.46,nan,110.39,0.40,1.33,0.51,-0.01,0.03,1.00,184.89,16.38
561083,108,,0.00,0.00,0.00,0.00,0.00,98910.13,202.99,67.25,17.79,17.77,1.47,nan,110.11,0.35,1.11,0.21,-0.02,0.03,1.00,187.74,16.41
566282,109,,0.00,0.00,0.00,0.00,0.00,98905.18,203.41,66.69,17.79,17.83,1.83,70.99,109.74,0.21,0.96,0.48,-0.02,0.03,1.00,187.17,16.52
571478,110,,0.00,0.00,0.00,0.00,0.00,98904.38,203.25,66.66,17.89,17.90,1.93,-80.86,105.83,1.03,3.14,3.22,0.07,0.03,0.97,182.04,16.56
576606,111,,0.00,0.00,0.00,0.00,0.00,98891.00,204.61,65.96,17.95,18.04,-1.51,80.64,110.29,-6.87,2.87,12.41,-0.06,-0.03,1.02,189.45,16.71
581734,112,,0.00,0.00,0.00,0.00,0.00,98873.92,206.06,65.90,18.02,18.29,1.63,72.02,129.43,0.80,0.95,0.31,-0.03,0.03,1.00,147.24,16.78
586865,113,,0.00,0.00,0.00,0.00,0.00,98894.66,204.30,65.66,18.04,18.38,1.71,nan,129.91,0.58,1.14,0.26,-0.03,0.03,1.00,155.23,16.78
591992,114,,0.00,0.00,0.00,0.00,0.00,98906.07,203.33,65.48,18.10,18.41,1.64,69.14,130.86,0.43,1.38,0.17,-0.03,0.03,1.00,162.65,16.86
597120,115,,0.00,0.00,0.00,0.00,0.00,98908.35,203.14,65.40,18.14,18.41,2.11,nan,129.03,-0.08,13.55,-6.25,-0.03,0.04,1.00,160.36,16.94
602337,116,,0.00,0.00,0.00,0.00,0.00,98911.88,202.84,65.24,18.19,18.43,10.93,nan,54.55,-11.02,28.19,37.22,-0.00,0.17,0.86,143.25,16.94
607467,117,,0.00,0.00,0.00,0.00,0.00,98908.96,203.09,64.72,18.23,18.45,5.27,-88.76,87.90,16.77,-14.91,21.12,0.38,0.09,0.93,142.11,16.94
612595,118,,0.00,0.00,0.00,0.00,0.00,98896.99,204.10,64.68,18.41,18.54,6.78,nan,69.35,-4.66,14.39,-4.36,0.21,0.10,0.81,153.52,17.16
617723,119,,0.00,0.00,0.00,0.00,0.00,98881.53,205.19,64.04,18.57,18.66,16.42,-70.59,111.25,22.10,1.65,143.97,0.02,0.25,0.86,180.33,17.39
622851,120,,0.00,0.00,0.00,0.00,0.00,98877.22,205.78,63.74,18.75,18.78,11.04,nan,96.73,0.54,-15.26,8.27,0.28,0.15,0.76,154.09,17.51
627981,121,,0.00,0.00,0.00,0.00,0.00,98872.86,206.15,63.11,18.86,18.88,-0.37,nan,109.51,-32.67,-11.00,-13.21,0.25,-0.01,1.11,172.34,17.66
633253,122,,0.00,0.00,0.00,0.00,0.00,98879.49,205.59,62.60,18.92,18.96,4.07,-88.78,93.61,-15.55,-6.20,-14.27,0.37,0.05,0.76,150.67,17.70
638381,123,,0.00,0.00,0.00,0.00,0.00,98897.28,204.08,62.40,18.94,18.96,4.77,nan,58.47,-37.83,-0.77,-87.83,0.33,0.08,0.97,137.55,17.51
643508,124,,0.00,0.00,0.00,0.00,0.00,98887.35,204.92,62.25,18.99,18.94,6.96,nan,70.18,-2.73,-0.38,0.26,0.35,0.11,0.93,144.96,17.51
648639,125,,0.00,0.00,0.00,0.00,0.00,98891.28,204.59,62.67,19.03,18.90,16.49,-86.89,80.64,-3.19,-5.78,50.02,0.20,0.26,0.87,132.98,17.32
653767,126,,0.00,0.00,0.00,0.00,0.00,98939.22,200.29,62.62,19.09,18.95,14.69,nan,26.82,1.85,-4.17,16.80,0.18,0.25,0.95,135.27,17.59
658894,127,,0.00,0.00,0.00,0.00,0.00,99003.91,195.03,62.43,19.13,18.96,11.34,-88.14,43.85,5.98,1.58,-1.92,0.26,0.19,0.96,135.84,17.55
664039,128,,0.00,0.00,0.00,0.00,0.00,99036.99,192.68,62.07,19.17,18.96,10.76,-88.42,14.67,-2.56,0.06,2.96,0.28,0.18,0.93,128.42,17.51
669273,129,,0.00,0.00,0.00,0.00,0.00,99031.61,192.68,61.63,19.07,18.89,7.46,nan,5.15,9.27,18.16,-20.56,0.04,0.15,1.15,153.52,17.43
674400,130,,0.00,0.00,0.00,0.00,0.00,99004.74,194.96,61.36,19.14,18.97,-0.89,nan,63.60,57.67,49.74,-42.84,0.43,-0.02,1.11,117.01,17.63
679528,131,,0.00,0.00,0.00,0.00,0.00,98984.91,196.64,61.21,19.25,19.09,8.54,nan,48.77,-18.37,7.90,-33.73,0.32,0.15,1.02,152.95,17.86
