318524,43,16,17,5,34.543685,-117.863555,756.10,0.11,91642.35,840.09,36.25,0.00,25.52,-1.33,0.69,113.98,5.54,7.66,-0.98,-0.01,-0.02,1.00,132.03,nan
323772,44,16,17,11,34.543685,-117.863563,756.50,0.07,91635.47,839.74,36.08,0.00,25.59,1.69,2.52,118.56,1.52,1.67,-0.17,-0.04,0.03,1.01,126.54,nan
328896,45,16,17,16,34.543689,-117.863563,756.90,0.20,91632.55,840.00,35.58,0.00,25.72,2.72,1.54,119.78,0.84,2.70,0.20,-0.03,0.05,1.00,126.54,nan
334022,46,16,17,21,34.543689,-117.863563,757.40,0.13,91627.94,840.42,35.29,0.00,25.90,1.08,0.01,114.60,1.51,-0.58,1.80,-0.00,0.02,1.00,110.07,nan
339146,47,16,17,26,34.543693,-117.863563,757.90,0.15,91616.62,841.44,35.20,0.00,26.12,1.18,1.11,114.15,1.69,0.60,1.59,-0.02,0.02,0.99,126.54,nan
344270,48,16,17,31,34.543678,-117.863563,765.50,0.19,91618.35,841.29,34.91,0.00,26.35,-0.84,-1.07,112.83,3.10,5.45,-0.56,0.02,-0.01,0.99,115.56,nan
360671,49,16,17,48,34.543674,-117.863601,789.70,0.02,91577.33,844.50,34.38,0.00,26.83,2.38,-0.21,106.67,-2.19,2.52,2.56,0.00,0.04,1.00,104.58,nan
365861,50,16,17,53,34.543666,-117.863601,795.20,0.04,91672.10,836.43,34.04,0.00,26.70,1.75,-0.64,107.69,2.34,3.61,1.23,0.01,0.03,0.99,115.56,nan
370985,51,16,17,58,34.543659,-117.863594,801.20,0.11,91627.88,840.42,33.94,0.00,26.84,-8.30,1.81,91.79,-25.02,-11.56,-18.91,-0.03,-0.14,0.96,110.07,nan
376110,52,16,18,3,34.543659,-117.863594,805.60,0.11,91665.46,837.03,33.62,0.00,26.78,-0.85,3.00,102.19,4.94,0.35,-2.65,-0.05,-0.01,0.98,115.56,nan
381236,53,16,18,8,34.543655,-117.863601,809.90,0.09,91647.42,838.66,33.52,0.00,26.80,-6.87,3.07,86.87,1.66,2.03,0.87,-0.05,-0.12,1.00,110.07,nan
386360,54,16,18,13,34.543666,-117.863609,815.30,0.04,91661.35,837.40,33.49,0.00,26.70,-1.92,3.68,101.10,-4.88,-1.04,6.72,-0.07,-0.03,1.01,126.54,nan
403517,55,16,18,30,34.543693,-117.863624,825.10,0.02,91638.74,839.94,33.31,0.00,26.83,-2.85,4.14,105.42,0.92,2.57,-1.12,-0.07,-0.05,1.01,115.56,nan
408769,56,16,18,36,34.543693,-117.863624,825.20,0.07,91616.25,841.47,33.11,0.00,27.10,-2.51,4.36,106.78,-0.22,1.80,0.32,-0.07,-0.04,0.98,99.09,nan
413895,57,16,18,41,34.543693,-117.863624,825.20,0.06,91630.13,840.22,32.91,0.00,27.19,-7.12,16.82,122.26,-1.33,-9.92,-7.12,-0.32,-0.13,1.04,110.07,nan
419019,58,16,18,46,34.543693,-117.863624,825.30,0.06,91685.39,835.23,33.14,0.00,27.02,-4.85,8.58,114.94,-0.43,2.74,-0.61,-0.15,-0.08,1.00,110.07,nan
424143,59,16,18,51,34.543693,-117.863624,825.40,0.07,91661.44,837.39,32.88,0.00,26.95,-2.22,7.98,112.47,0.47,-0.59,-4.64,-0.14,-0.04,1.00,115.56,nan
429270,60,16,18,56,34.543693,-117.863624,825.40,0.09,91640.68,839.27,32.95,0.00,27.03,-0.74,0.41,103.35,-5.47,-6.39,-8.44,-0.01,-0.01,1.00,121.05,nan
446093,61,16,19,13,34.543693,-117.863624,828.90,0.07,91742.53,830.07,33.41,0.00,26.38,-2.40,-4.92,97.77,-6.96,-2.06,0.99,0.08,-0.04,0.95,121.05,nan
451217,62,16,19,18,34.543693,-117.863624,829.00,0.09,91679.63,835.75,33.79,0.00,26.14,3.94,1.47,102.41,3.98,1.44,1.30,-0.03,0.07,0.99,104.58,nan
456341,63,16,19,23,34.543693,-117.863624,829.00,0.02,91664.79,837.09,34.06,0.00,26.02,1.21,3.06,101.28,-5.29,-8.88,13.75,-0.06,0.02,1.04,126.54,nan
461510,64,16,19,28,34.543693,-117.863632,829.10,0.11,91692.64,834.58,34.34,0.00,25.69,-3.55,4.79,84.54,7.60,2.26,4.17,-0.08,-0.06,1.00,115.56,nan
466916,65,16,19,34,34.543693,-117.863632,829.10,0.02,91631.53,839.61,34.65,0.00,25.72,1.05,1.75,90.20,2.74,-6.60,-30.61,-0.03,0.02,1.00,104.58,nan
472057,66,16,19,39,34.543693,-117.863632,829.20,0.02,91679.46,835.77,35.16,0.00,25.47,1.07,6.69,80.88,0.62,7.64,-3.69,-0.12,0.02,1.00,115.56,nan
488481,67,16,19,55,34.543704,-117.863632,829.50,0.63,91749.84,829.17,35.51,0.00,24.69,2.41,2.42,79.77,2.46,0.95,-1.24,-0.04,0.04,0.99,110.07,nan
493716,68,16,20,1,34.543716,-117.863639,829.70,0.85,91673.46,836.31,36.02,0.00,24.47,3.81,3.90,83.96,-1.34,0.06,0.43,-0.07,0.07,1.01,110.07,nan
498840,69,16,20,6,34.543727,-117.863647,830.00,0.98,91666.96,836.89,36.34,0.00,24.27,2.75,3.19,82.86,2.19,0.19,-1.92,-0.06,0.05,1.00,104.58,nan
503964,70,16,20,11,34.543739,-117.863655,830.40,0.89,91669.71,836.65,36.78,0.00,24.05,4.11,1.70,84.37,3.95,-2.22,3.74,-0.03,0.07,1.00,110.07,nan
509090,71,16,20,16,34.543746,-117.863655,830.80,0.50,91644.27,838.94,36.89,0.00,23.94,4.33,5.50,73.01,14.90,-20.75,-9.85,-0.09,0.07,0.98,110.07,nan
514214,72,16,20,21,34.543746,-117.863655,831.20,0.30,91657.23,838.02,37.29,0.00,23.78,2.77,4.08,82.94,-1.11,3.21,-0.22,-0.07,0.05,1.00,110.07,nan
530604,73,16,20,38,34.543739,-117.863655,832.70,0.04,91700.40,833.88,38.05,0.00,23.35,-0.31,5.63,81.49,1.99,-0.30,-0.60,-0.10,-0.01,1.00,110.07,nan
535799,74,16,20,43,34.543739,-117.863655,833.00,0.04,91675.32,836.14,38.41,0.00,23.11,0.68,5.64,82.97,0.79,0.97,0.40,-0.10,0.01,1.00,115.56,nan
540923,75,16,20,48,34.543739,-117.863655,833.00,0.00,91649.44,838.48,38.75,0.00,23.06,-2.04,6.80,74.00,-1.15,7.14,-7.03,-0.13,-0.04,1.06,99.09,nan
546048,76,16,20,53,34.543739,-117.863655,833.10,0.06,91658.02,837.95,39.17,0.00,22.97,4.34,3.47,85.11,-7.05,-1.47,-6.57,-0.06,0.08,1.00,115.56,nan
551171,77,16,20,58,34.543739,-117.863655,833.10,0.06,91657.78,837.72,39.46,0.00,22.86,2.82,4.14,83.69,0.87,1.17,0.81,-0.07,0.05,0.99,110.07,nan
556298,78,16,21,3,34.543739,-117.863655,833.20,0.02,91665.30,837.04,39.58,0.00,22.67,2.13,3.27,83.98,1.58,2.56,0.29,-0.06,0.04,1.00,121.05,nan
573446,79,16,21,20,34.543739,-117.863655,833.40,0.06,91690.25,835.04,40.02,0.00,22.37,4.73,0.73,87.42,-6.71,10.91,13.25,-0.01,0.08,1.00,104.58,nan
578711,80,16,21,26,34.543739,-117.863655,833.40,0.06,91600.51,842.89,39.83,0.00,22.63,-0.88,9.16,78.67,8.93,7.75,-1.01,-0.16,-0.02,0.98,121.05,nan
583837,81,16,21,31,34.543739,-117.863655,833.50,0.37,91640.97,839.24,40.47,0.00,22.65,8.02,-0.65,110.69,-20.78,-3.95,-1.22,0.01,0.14,1.01,110.07,nan
588961,82,16,21,36,34.543739,-117.863655,833.50,0.09,91630.55,840.18,39.53,0.00,22.74,2.61,5.80,97.93,1.54,-0.38,-3.44,-0.10,0.05,1.02,110.07,nan
594085,83,16,21,41,34.543739,-117.863655,833.60,0.02,91630.02,840.23,39.17,0.00,22.83,2.76,6.46,96.86,2.63,2.70,0.60,-0.11,0.05,1.01,110.07,nan
